Name,Price,Description,Warnings,Category 1,Category 2,Category 3,Language
Nadixa 1% Cream,48.5,ബാക്ടീരിയൽ ചർമ്മത്തിലെ അണുബാധകളും വീക്കം ഉണ്ടാക്കുന്ന ചർമ്മ അവസ്ഥകളും ചികിത്സിക്കുന്നു.,ബാധിത പ്രദേശത്ത് നേരിയ പാളി പുരട്ടുക. പതിവായി ഉപയോഗിക്കുക. കണ്ണുമായി സമ്പർക്കം ഒഴിവാക്കുക.,ചർമ്മ സംരക്ഷണം,അണുബാധകൾ,ക്രീം / ഓയിന്റ്മെന്റ്,Malayalam
Onda-Denk 4mg Tablet,65.5,"ഓക്കാനം, ഛർദ്ദി എന്നിവ തടയുകയും ചികിത്സിക്കുകയും ചെയ്യുന്നു.",നിങ്ങളുടെ ഡോക്ടർ നിർദ്ദേശിച്ച പ്രകാരം ഉപയോഗിക്കുക. ശുപാർശിത ഡോസ് കവിയരുത്.,ദഹന ആരോഗ്യം,ഓക്കാനം / ഛർദ്ദി,ഗുളികകൾ,Malayalam
Artelac Complete MDO Eye Drop,55.0,വരണ്ട കണ്ണുകൾക്കുള്ള പ്രിസർവേറ്റീവ് രഹിത ഐ ഡ്രോപ്പ് ലായനി.,ആദ്യമായി തുറന്ന് കഴിഞ്ഞും (3 മാസം) ഇത് ഉപയോഗിക്കാം.,കണ്ണ് സംരക്ഷണം,വരണ്ട കണ്ണുകൾ,കണ്ണിലെ മരുന്ന്,Malayalam
Protomax Mups 40mg Tablet,44.0,ആസിഡ് സംബന്ധമായ പ്രശ്നങ്ങൾക്കുള്ള ആമാശയത്തിലെ ആസിഡ് കുറയ്ക്കുന്നു.,നിർദ്ദേശിച്ച പ്രകാരം എടുക്കുക. ഭക്ഷണത്തിന് ഒരു മണിക്കൂർ മുമ്പ് കഴിക്കുന്നതാണ് നല്ലത്. ശുപാർശിത ഡോസ് കവിയരുത്.,ദഹന ആരോഗ്യം,നെഞ്ചെരിച്ചിൽ,ഗുളികകൾ,Malayalam
Vismed Eye Drop,40.5,വരണ്ടതോ പ്രകോപിപ്പിക്കുന്നതോ ആയ കണ്ണുകളെ ഈർപ്പമുള്ളതാക്കുകയും സുഖപ്പെടുത്തുകയും ചെയ്യുന്നു.,നിർദ്ദേശിച്ച പ്രകാരം ഒഴിക്കുക. ഏതെങ്കിലും പ്രതലത്തിലോ കണ്ണിലോ സ്പർശിക്കുന്നത് ഒഴിവാക്കുക.,കണ്ണ് സംരക്ഷണം,വരണ്ട കണ്ണുകൾ,കണ്ണിലെ മരുന്ന്,Malayalam
Vismed Eye Gel,56.0,വരണ്ടതോ പ്രകോപിപ്പിക്കുന്നതോ ആയ കണ്ണുകളെ ഈർപ്പമുള്ളതാക്കുകയും സുഖപ്പെടുത്തുകയും ചെയ്യുന്നു.,നിർദ്ദേശിച്ച പ്രകാരം ഒഴിക്കുക. ഏതെങ്കിലും പ്രതലത്തിലോ കണ്ണിലോ സ്പർശിക്കുന്നത് ഒഴിവാക്കുക.,കണ്ണ് സംരക്ഷണം,വരണ്ട കണ്ണുകൾ,ഐ ജെൽ,Malayalam
Avocom Nasal Spray,26.5,മോമെറ്റാസോൺ ഫ്യൂറോയേറ്റ് ഉപയോഗിച്ച് വൈക്കോൽ പനിയും ദീർഘകാല ринитиസ് ലക്ഷണങ്ങളും ഒഴിവാക്കുന്നു.,"ഉപയോഗിക്കുന്നതിന് മുമ്പ് ഡോക്ടറെ സമീപിക്കുക, പ്രത്യേകിച്ച് 3 വയസ്സിന് താഴെയുള്ള കുട്ടികൾക്ക്.",അലർജിയും സൈനസ്സും,മൂക്കിലെ തിരക്ക്,സ്പ്രേ,Malayalam
Prila Cream 5%,49.0,"സൂചി ചേർക്കുന്നതിനും ലേസർ ചികിത്സയ്ക്കും, മുടി നീക്കം ചെയ്യലിനും, ഉപരിപ്ലവമായ നടപടിക്രമങ്ങൾക്കും ഉപരിതല അനസ്തേഷ്യ നൽകുന്നു.",ബാഹ്യ ഉപയോഗത്തിന് മാത്രം. കണ്ണുമായി സമ്പർക്കം ഒഴിവാക്കുക. ഗർഭിണിയോ മുലയൂട്ടുന്ന അമ്മയോ ആണെങ്കിൽ ഉപയോഗിക്കുന്നതിന് മുമ്പ് ഡോക്ടറെ സമീപിക്കുക.,പ്രഥമശുശ്രൂഷ,മുറിവ് പരിചരണം,ക്രീം / ഓയിന്റ്മെന്റ്,Malayalam
Lorine FM 10mg Tablet,14.5,"മയക്കം വരുത്താത്ത ലോറാറ്റാഡിൻ ഉപയോഗിച്ച് തുമ്മൽ, മൂക്കൊലിപ്പ്, ചൊറിച്ചിലുള്ള കണ്ണുകൾ തുടങ്ങിയ അലർജി ലക്ഷണങ്ങളെ ശമിപ്പിക്കുന്നു.",ശുപാർശിത ഡോസ് കവിയരുത്. രോഗലക്ഷണങ്ങൾ നിലനിൽക്കുകയാണെങ്കിൽ ഡോക്ടറെ സമീപിക്കുക.,അലർജിയും സൈനസ്സും,ഹേ ഫീവർ (അലർജിക് ринит),ഗുളികകൾ,Malayalam
Hylo-Dual Eye Drops,57.5,"എക്ടോയിൻ, സോഡിയം ഹൈലൂറോണേറ്റ് എന്നിവ ഉപയോഗിച്ച് അലർജി മൂലമുണ്ടാകുന്ന വരണ്ട കണ്ണ്, പ്രകോപനം എന്നിവ ഒഴിവാക്കുന്നു.",പ്രകോപനം തുടരുകയാണെങ്കിൽ ഡോക്ടറെ സമീപിക്കുക. തുറന്ന് ആറ് മാസത്തിനുള്ളിൽ ഉപയോഗിക്കുക.,കണ്ണ് സംരക്ഷണം,വരണ്ട കണ്ണുകൾ,കണ്ണിലെ മരുന്ന്,Malayalam
Blink Intensive Plus Eye Gel,52.5,ഉയർന്ന വിസ്കോസിറ്റി ഹൈപ്പോട്ടോണിക് ഫോർമുലേഷൻ ഉപയോഗിച്ച് വരണ്ട കണ്ണുകൾക്ക് ദീർഘനേരം ആശ്വാസം നൽകുന്നു.,ബാഹ്യ ഉപയോഗത്തിന് മാത്രം. പ്രകോപനം തുടരുകയാണെങ്കിൽ ഡോക്ടറെ സമീപിക്കുക.,കണ്ണ് സംരക്ഷണം,വരണ്ട കണ്ണുകൾ,ഐ ജെൽ,Malayalam
Blink Intensive Eye Drops,48.0,0.20% സോഡിയം ഹൈലൂറോണേറ്റ് ഉപയോഗിച്ച് വരണ്ട കണ്ണുകൾക്ക് ആശ്വാസം നൽകുന്നു.,തുറന്ന ശേഷം കുപ്പി ഉപേക്ഷിക്കുക. പ്രകോപനം തുടരുകയാണെങ്കിൽ ഡോക്ടറെ സമീപിക്കുക.,കണ്ണ് സംരക്ഷണം,വരണ്ട കണ്ണുകൾ,കണ്ണിലെ മരുന്ന്,Malayalam
Hemagel Procto Suppository,96.0,ഗുദത്തിലെ കഠിനവും വിട്ടുമാറാത്തതുമായ മുറിവുകളും ചർമ്മത്തിലെ തകരാറുകളും വേഗത്തിൽ സുഖപ്പെടുത്തുന്നു.,"രോഗം മൂർച്ഛിക്കുകയാണെങ്കിൽ ഡോക്ടറെ സമീപിക്കുക. എല്ലാ പ്രായക്കാർക്കും, മുലയൂട്ടുന്നവർക്കും ഗർഭിണികൾക്കും അനുയോജ്യം.",പ്രഥമശുശ്രൂഷ,മുറിവ് പരിചരണം,സപ്പോസിറ്ററി,Malayalam
Thealoz Duo Eye Gel,54.5,"ട്രെഹലോസ്, സോഡിയം ഹൈലൂറോണേറ്റ് എന്നിവ ഉപയോഗിച്ച് മിതമായതും കഠിനവുമായ വരണ്ട കണ്ണുകൾക്ക് ദീർഘനേരം നിലനിൽക്കുന്ന ജലാംശവും സംരക്ഷണവും നൽകുന്നു.",നിങ്ങളുടെ ഡോക്ടറോ നേത്ര സംരക്ഷണ വിദഗ്ദ്ധനോ നിർദ്ദേശിച്ച പ്രകാരം ഉപയോഗിക്കുക. ഉപയോഗിക്കുന്നതിന് മുമ്പ് കൈകൾ വൃത്തിയാക്കുക.,കണ്ണ് സംരക്ഷണം,വരണ്ട കണ്ണുകൾ,ഐ ജെൽ,Malayalam
Artelac Complete SDU Eye Drop,61.5,"സോഡിയം ഹൈലൂറോണേറ്റ്, കാർബോക്‌സിമീഥൈൽസെല്ലുലോസ് എന്നിവ ഉപയോഗിച്ച് കണ്ണുകളുടെ വരൾച്ചയും പ്രകോപനവും ഒഴിവാക്കുന്നു.",ഓരോ സിംഗിൾ ഡോസ് യൂണിറ്റും ഒരു തവണത്തെ ഉപയോഗത്തിന് മാത്രമുള്ളതാണ്; ഉപയോഗശേഷം ഉപേക്ഷിക്കുക. നിങ്ങളുടെ ആരോഗ്യ സംരക്ഷണ വിദഗ്ധൻ നിർദ്ദേശിക്കുന്നതുപോലെ ഉപയോഗിക്കുക.,നേത്ര സംരക്ഷണം,വരണ്ട കണ്ണുകൾ,കണ്ണിൽ ഒഴിക്കുന്ന തുള്ളിമരുന്ന്,Malayalam
Strepsils Honey & Lemon Lozenges,33.06,ഇരട്ട ആൻ്റി ബാക്ടീരിയൽ പ്രവർത്തനത്തിലൂടെ തൊണ്ടവേദന ശമിപ്പിക്കുന്നു.,2 മുതൽ 3 മണിക്കൂർ ഇടവിട്ട് ഒരു ലോസഞ്ചെ വായിൽ ലയിപ്പിക്കുക അല്ലെങ്കിൽ ഡോക്ടർ നിർദ്ദേശിക്കുന്നതുപോലെ.,"ചുമ, ജലദോഷം & പനി",തൊണ്ടവേദന,ലോസഞ്ചുകൾ,Malayalam
Strepsils Extra Blackcurrant Lozenges,38.96,വേദനയും അസ്വസ്ഥതയും ഒഴിവാക്കാൻ ഇരട്ട പ്രവർത്തനത്തോടൊപ്പം അണുനാശിനിയായി തൊണ്ടവേദനയ്ക്ക് ഫലപ്രദമായ വേദന സംഹാരി നൽകുന്നു.,മുതിർന്നവർക്കും ആറ് വയസും അതിനുമുകളിലുള്ള കുട്ടികൾക്കും: ആവശ്യമുള്ളപ്പോൾ 3 മണിക്കൂർ കൂടുമ്പോൾ 1 ലോസഞ്ചെ വായിൽ പതുക്കെ ലയിപ്പിക്കുക. 6 വയസ്സിൽ താഴെയുള്ള കുട്ടികൾക്ക് നൽകരുത്.,"ചുമ, ജലദോഷം & പനി",തൊണ്ടവേദന,ലോസഞ്ചുകൾ,Malayalam
Strepsils Sore Throat Block Nose Lozenges,33.06,"തൊണ്ടവേദനയിൽ നിന്ന് വേഗത്തിലും ഫലപ്രദമായും ആശ്വാസം നൽകുന്നു, മൂക്കിലെ തടസ്സം നീക്കാൻ സഹായിക്കുന്നു.",എപ്പോഴും ലേബൽ വായിക്കുക. നിർദ്ദേശിച്ച പ്രകാരം മാത്രം ഉപയോഗിക്കുക. രോഗലക്ഷണങ്ങൾ നിലനിൽക്കുകയാണെങ്കിൽ നിങ്ങളുടെ ആരോഗ്യ സംരക്ഷണ വിദഗ്ദ്ധനെ സമീപിക്കുക.,"ചുമ, ജലദോഷം & പനി",തൊണ്ടവേദന,ലോസഞ്ചുകൾ,Malayalam
